Date;Open;High;Low;Last;Close;Number of Shares;Number of Trades;Turnover;vwap
2025-01-28;30,6;30,84;30,44;30,62;30,62;615708;1888;18867095;30,6429
2025-01-27;30,4;30,96;30,3;30,62;30,62;829161;2773;25466297;30,7133
2025-01-24;30,77;31;30,38;30,44;30,44;548960;1886;16757831;30,5264
2025-01-23;30,57;30,79;30,54;30,7;30,7;683591;2282;20985852;30,6994
2025-01-22;30,38;31,05;30,23;30,56;30,56;1255091;4227;38515678;30,6876
2025-01-21;30,16;30,24;29,93;30,22;30,22;627551;1841;18939302;30,1797
2025-01-20;30,2;30,4;30,06;30,2;30,2;779066;2334;23519313;30,1891
2025-01-17;30,04;30,23;29,98;30,03;30,03;1154980;3016;34732292;30,0717
2025-01-16;29,49;29,8;29,32;29,75;29,75;989148;2769;29330792;29,6526
2025-01-15;28,97;29,46;28,97;29,41;29,41;906651;2830;26618572;29,3592
2025-01-14;29,12;29,38;28,79;28,81;28,81;806352;2210;23313483;28,9123
2025-01-13;28,34;28,99;28,29;28,87;28,87;811713;2772;23412318;28,8431
2025-01-10;28,66;28,76;28,41;28,43;28,43;674681;2206;19242704;28,5211
2025-01-09;28,74;28,79;28,47;28,61;28,61;427892;1416;12247036;28,6218
2025-01-08;28,83;28,91;28,34;28,8;28,8;833814;2658;23894845;28,6573
2025-01-07;28,78;29,02;28,48;28,87;28,87;812142;2114;23430024;28,8497
2025-01-06;28,97;29,02;28,48;28,78;28,78;679675;2271;19552501;28,7674
2025-01-03;28,9;28,99;28,66;28,73;28,73;711748;2202;20476103;28,7689
2025-01-02;28,83;29,05;28,5;28,85;28,85;473271;1704;13636129;28,8126
